Date,Open,High,Low,Close,Adj Close,Volume
2015-10-07,4.090910,4.129870,3.467530,3.467530,3.187165,666450657
2015-10-08,3.487010,3.545450,2.980520,3.000000,2.757437,181251583
2015-10-09,3.077920,3.545450,3.058440,3.506490,3.222975,264185717
2015-10-12,3.603900,4.441560,3.545450,4.285710,3.939192,452070593
2015-10-13,4.285710,4.324680,4.129870,4.285710,3.939192,130385640
2015-10-14,4.402600,4.675320,4.285710,4.519480,4.154060,259060853
2015-10-15,4.519480,5.025970,4.402600,4.987010,4.583789,166919830
2015-10-16,4.987010,5.259740,4.636360,4.792210,4.404740,192033123
2015-10-19,4.831170,5.103900,4.753250,4.987010,4.583789,108188850
2015-10-20,4.987010,5.064940,4.831170,4.831170,4.440548,76825467
2015-10-21,4.909090,5.259740,4.870130,5.142860,4.727037,159593280
2015-10-22,5.142860,5.415580,5.025970,5.181820,4.762847,157715250
2015-10-26,5.181820,5.493510,5.181820,5.493510,5.049336,125726113
2015-10-27,5.493510,5.727270,5.415580,5.415580,4.977707,113559600
2015-10-28,5.454550,5.610390,5.337660,5.454550,5.013525,84433323
2015-10-29,5.532470,5.571430,5.376620,5.376620,4.941897,61112333
2015-10-30,5.454550,5.532470,5.376620,5.454550,5.013525,51968070
2015-11-02,5.454550,5.493510,5.376620,5.415580,4.977707,23390547
2015-11-03,5.454550,5.883120,5.454550,5.766230,5.300005,142860410
2015-11-04,5.844160,5.844160,5.688310,5.727270,5.264196,44738027
2015-11-05,5.727270,5.805190,5.532470,5.571430,5.120956,61085897
2015-11-06,5.610390,5.688310,5.532470,5.649350,5.192575,28969710
2015-11-09,5.688310,5.961040,5.688310,5.844160,5.371634,63973910
2015-11-10,5.805190,5.922080,5.766230,5.766230,5.300005,23707530
2015-11-11,5.805190,5.805190,5.571430,5.571430,5.120956,29443517
2015-11-12,5.571430,5.571430,5.376620,5.454550,5.013525,19475097
2015-11-13,5.454550,5.454550,5.376620,5.415580,4.977707,2263800
2015-11-16,5.454550,5.532470,5.376620,5.493510,5.049336,1649083
2015-11-17,5.532470,5.610390,5.454550,5.454550,5.013525,4157230
2015-11-18,5.493510,5.532470,5.415580,5.415580,4.977707,2564357
2015-11-19,5.454550,5.571430,5.376620,5.415580,4.977707,6531140
2015-11-20,5.415580,5.454550,5.298700,5.337660,4.906087,4893863
2015-11-23,5.220780,5.337660,5.181820,5.259740,4.834467,3949073
2015-11-24,5.298700,5.454550,5.220780,5.259740,4.834467,12161123
2015-11-25,5.259740,5.376620,5.103900,5.142860,4.727037,7366077
2015-11-26,5.142860,5.259740,5.064940,5.181820,4.762847,5297087
2015-11-27,5.181820,5.259740,5.142860,5.259740,4.834467,6985953
2015-11-30,5.259740,5.337660,5.220780,5.337660,4.906087,7025737
2015-12-01,5.337660,5.337660,5.298700,5.298700,4.870276,2070273
2015-12-02,5.259740,5.259740,5.142860,5.142860,4.727037,1046943
2015-12-03,5.103900,5.181820,5.103900,5.103900,4.691228,1056697
2015-12-04,5.142860,5.142860,4.987010,5.103900,4.691228,552347
2015-12-08,5.103900,5.103900,4.948050,4.948050,4.547978,1256383
2015-12-09,4.987010,5.025970,4.948050,5.025970,4.619598,1142680
2015-12-11,5.025970,5.025970,4.948050,5.025970,4.619598,1429377
2015-12-14,4.948050,4.987010,4.909090,4.948050,4.547978,281050
2015-12-15,4.987010,5.181820,4.948050,5.103900,4.691228,1047200
2015-12-16,5.103900,5.376620,5.103900,5.259740,4.834467,1228663
2015-12-17,5.259740,5.298700,5.103900,5.142860,4.727037,723800
2015-12-18,5.142860,5.142860,4.987010,4.987010,4.583789,621903
2015-12-21,4.987010,5.025970,4.909090,4.948050,4.547978,791560
2015-12-22,4.948050,4.948050,4.909090,4.909090,4.512169,822873
2015-12-23,4.948050,5.259740,4.948050,5.142860,4.727037,783347
2015-12-24,5.103900,5.220780,5.025970,5.220780,4.798657,627293
2015-12-25,5.103900,5.298700,5.103900,5.298700,4.870276,385257
2015-12-28,5.376620,5.376620,5.337660,5.337660,4.906087,65707
2015-12-29,5.376620,5.376620,5.298700,5.298700,4.870276,77513
2015-12-30,5.298700,5.337660,5.220780,5.220780,4.798657,38243
2016-01-04,5.220780,5.298700,5.064940,5.064940,4.655417,170427
2016-01-05,5.142860,5.142860,5.025970,5.025970,4.619598,144247
2016-01-06,5.025970,5.103900,5.025970,5.064940,4.655417,28490
2016-01-07,5.025970,5.142860,5.025970,5.064940,4.655417,346757
2016-01-08,5.025970,5.103900,5.025970,5.025970,4.619598,378840
2016-01-11,5.025970,5.064940,5.025970,5.064940,4.655417,109083
2016-01-12,5.064940,5.142860,5.064940,5.103900,4.691228,117810
2016-01-13,5.142860,5.142860,5.064940,5.064940,4.655417,338287
2016-01-14,5.064940,5.103900,4.987010,5.103900,4.691228,586227
2016-01-15,5.025970,5.064940,5.025970,5.025970,4.619598,110880
2016-01-18,4.987010,5.142860,4.987010,5.064940,4.655417,196350
2016-01-19,5.025970,5.025970,4.987010,5.025970,4.619598,368060
2016-01-20,4.987010,5.025970,4.987010,4.987010,4.583789,122687
2016-01-21,5.025970,5.025970,4.987010,5.025970,4.619598,280280
2016-01-22,4.987010,5.025970,4.948050,4.987010,4.583789,1026153
2016-01-25,4.987010,5.532470,4.987010,5.376620,4.941897,18205110
2016-01-26,5.415580,5.532470,5.337660,5.337660,4.906087,12218360
2016-01-27,5.376620,5.415580,5.142860,5.415580,4.977707,3519413
2016-01-28,5.454550,5.454550,5.259740,5.298700,4.870276,1625213
2016-01-29,5.298700,5.298700,5.142860,5.142860,4.727037,1145760
2016-02-01,5.220780,5.376620,5.220780,5.259740,4.834467,1394470
2016-02-02,5.259740,5.454550,5.259740,5.337660,4.906087,2445520
2016-02-03,5.259740,5.415580,5.259740,5.415580,4.977707,745617
2016-02-04,5.454550,5.454550,5.337660,5.337660,4.906087,464567
2016-02-05,5.415580,5.415580,5.337660,5.337660,4.906087,914503
2016-02-08,5.220780,5.376620,5.220780,5.259740,4.834467,927850
2016-02-09,5.259740,5.298700,5.259740,5.259740,4.834467,414260
2016-02-10,5.259740,5.298700,5.220780,5.259740,4.834467,218680
2016-02-11,5.220780,5.259740,5.142860,5.142860,4.727037,555170
2016-02-12,5.103900,5.142860,5.103900,5.142860,4.727037,104977
2016-02-15,5.103900,5.181820,5.064940,5.142860,4.727037,303637
2016-02-16,5.064940,5.064940,4.987010,4.987010,4.583789,218937
2016-02-17,4.987010,4.987010,4.948050,4.948050,4.547978,191473
2016-02-18,4.948050,5.064940,4.948050,5.025970,4.619598,118580
2016-02-19,5.025970,5.103900,4.987010,5.103900,4.691228,62113
